"","Nyckeltal","Kommun.Landsting","År","Visat.Värde"
"606","Invånare 65+ i särskilda boendeformer, andel (%)","Nacka",2009,"4.319425"
"607","Invånare 65+ i särskilda boendeformer, andel (%)","Nacka",2010,"4.237878"
"608","Invånare 65+ i särskilda boendeformer, andel (%)","Nacka",2011,"4.337528"
"609","Invånare 65+ i särskilda boendeformer, andel (%)","Nora",2008,"6.218097"
"610","Invånare 65+ i särskilda boendeformer, andel (%)","Nora",2009,"5.976096"
"611","Invånare 65+ i särskilda boendeformer, andel (%)","Nora",2010,"5.673158"
"612","Invånare 65+ i särskilda boendeformer, andel (%)","Nora",2011,"5.177994"
"613","Invånare 65+ i särskilda boendeformer, andel (%)","Norberg",2008,"5.980066"
"614","Invånare 65+ i särskilda boendeformer, andel (%)","Norberg",2009,"5.611847"
"615","Invånare 65+ i särskilda boendeformer, andel (%)","Norberg",2010,"5.500382"
"616","Invånare 65+ i särskilda boendeformer, andel (%)","Norberg",2011,"5.333333"
"617","Invånare 65+ i särskilda boendeformer, andel (%)","Nordanstig",2008,"6.395349"
"618","Invånare 65+ i särskilda boendeformer, andel (%)","Nordanstig",2009,"6.416132"
"619","Invånare 65+ i särskilda boendeformer, andel (%)","Nordanstig",2010,"6.31484"
"620","Invånare 65+ i särskilda boendeformer, andel (%)","Nordanstig",2011,"5.933682"
"621","Invånare 65+ i särskilda boendeformer, andel (%)","Nordmaling",2008,"6.736965"
"622","Invånare 65+ i särskilda boendeformer, andel (%)","Nordmaling",2009,"7.085253"
"623","Invånare 65+ i särskilda boendeformer, andel (%)","Nordmaling",2010,"7.126697"
"624","Invånare 65+ i särskilda boendeformer, andel (%)","Nordmaling",2011,"6.935123"
"625","Invånare 65+ i särskilda boendeformer, andel (%)","Norrköping",2008,"4.75864"
"626","Invånare 65+ i särskilda boendeformer, andel (%)","Norrköping",2009,"4.878692"
"627","Invånare 65+ i särskilda boendeformer, andel (%)","Norrköping",2010,"4.712422"
"628","Invånare 65+ i särskilda boendeformer, andel (%)","Norrköping",2011,"4.762894"
"629","Invånare 65+ i särskilda boendeformer, andel (%)","Norrtälje",2008,"5.819269"
"630","Invånare 65+ i särskilda boendeformer, andel (%)","Norrtälje",2009,"5.293459"
"631","Invånare 65+ i särskilda boendeformer, andel (%)","Norrtälje",2010,"5.283077"
"632","Invånare 65+ i särskilda boendeformer, andel (%)","Norrtälje",2011,"5.027726"
"633","Invånare 65+ i särskilda boendeformer, andel (%)","Norsjö",2008,"9.662289"
"634","Invånare 65+ i särskilda boendeformer, andel (%)","Norsjö",2009,"7.635695"
"635","Invånare 65+ i särskilda boendeformer, andel (%)","Norsjö",2010,"6.902985"
"636","Invånare 65+ i särskilda boendeformer, andel (%)","Norsjö",2011,"7.563025"
"637","Invånare 65+ i särskilda boendeformer, andel (%)","Nybro",2008,"5.098572"
"638","Invånare 65+ i särskilda boendeformer, andel (%)","Nybro",2009,"5.383113"
"639","Invånare 65+ i särskilda boendeformer, andel (%)","Nybro",2010,"5.239617"
"640","Invånare 65+ i särskilda boendeformer, andel (%)","Nybro",2011,"5.015806"
"641","Invånare 65+ i särskilda boendeformer, andel (%)","Nykvarn",2008,"3.507194"
"642","Invånare 65+ i särskilda boendeformer, andel (%)","Nykvarn",2009,"3.448276"
"643","Invånare 65+ i särskilda boendeformer, andel (%)","Nykvarn",2010,"3.122677"
"644","Invånare 65+ i särskilda boendeformer, andel (%)","Nykvarn",2011,"3.33102"
"645","Invånare 65+ i särskilda boendeformer, andel (%)","Nyköping",2008,"5.724491"
"646","Invånare 65+ i särskilda boendeformer, andel (%)","Nyköping",2009,"5.12353"
"647","Invånare 65+ i särskilda boendeformer, andel (%)","Nyköping",2010,"5.12661"
"648","Invånare 65+ i särskilda boendeformer, andel (%)","Nyköping",2011,"4.993941"
"649","Invånare 65+ i särskilda boendeformer, andel (%)","Nynäshamn",2008,"4.241436"
"650","Invånare 65+ i särskilda boendeformer, andel (%)","Nynäshamn",2009,"3.916173"
"651","Invånare 65+ i särskilda boendeformer, andel (%)","Nynäshamn",2010,"3.686543"
"652","Invånare 65+ i särskilda boendeformer, andel (%)","Nynäshamn",2011,"3.516148"
"653","Invånare 65+ i särskilda boendeformer, andel (%)","Nässjö",2008,"5.561156"
"654","Invånare 65+ i särskilda boendeformer, andel (%)","Nässjö",2009,"5.765113"
"655","Invånare 65+ i särskilda boendeformer, andel (%)","Nässjö",2010,"5.031651"
"656","Invånare 65+ i särskilda boendeformer, andel (%)","Nässjö",2011,"5.019984"
"657","Invånare 65+ i särskilda boendeformer, andel (%)","Ockelbo",2008,"5.801527"
"658","Invånare 65+ i särskilda boendeformer, andel (%)","Ockelbo",2009,"5.572065"
"659","Invånare 65+ i särskilda boendeformer, andel (%)","Ockelbo",2010,"5.40146"
"660","Invånare 65+ i särskilda boendeformer, andel (%)","Ockelbo",2011,"5.16129"
"661","Invånare 65+ i särskilda boendeformer, andel (%)","Olofström",2008,"6.104069"
"662","Invånare 65+ i särskilda boendeformer, andel (%)","Olofström",2009,"5.617978"
"663","Invånare 65+ i särskilda boendeformer, andel (%)","Olofström",2010,"5.315511"
"664","Invånare 65+ i särskilda boendeformer, andel (%)","Olofström",2011,"5.376344"
"665","Invånare 65+ i särskilda boendeformer, andel (%)","Orsa",2008,"6.180872"
"666","Invånare 65+ i särskilda boendeformer, andel (%)","Orsa",2009,"5.27307"
"667","Invånare 65+ i särskilda boendeformer, andel (%)","Orsa",2010,"5.166052"
"668","Invånare 65+ i särskilda boendeformer, andel (%)","Orsa",2011,"5.035971"
"669","Invånare 65+ i särskilda boendeformer, andel (%)","Orust",2008,"4.305772"
"670","Invånare 65+ i särskilda boendeformer, andel (%)","Orust",2009,"4.193361"
"671","Invånare 65+ i särskilda boendeformer, andel (%)","Orust",2010,"3.89755"
"672","Invånare 65+ i särskilda boendeformer, andel (%)","Orust",2011,"3.78364"
"673","Invånare 65+ i särskilda boendeformer, andel (%)","Osby",2008,"6.148748"
"674","Invånare 65+ i särskilda boendeformer, andel (%)","Osby",2009,"5.874077"
"675","Invånare 65+ i särskilda boendeformer, andel (%)","Osby",2010,"5.222841"
"676","Invånare 65+ i särskilda boendeformer, andel (%)","Osby",2011,"5.103075"
"677","Invånare 65+ i särskilda boendeformer, andel (%)","Oskarshamn",2008,"5.025964"
"678","Invånare 65+ i särskilda boendeformer, andel (%)","Oskarshamn",2009,"5.16934"
"679","Invånare 65+ i särskilda boendeformer, andel (%)","Oskarshamn",2010,"4.991334"
"680","Invånare 65+ i särskilda boendeformer, andel (%)","Oskarshamn",2011,"4.796365"
"681","Invånare 65+ i särskilda boendeformer, andel (%)","Ovanåker",2008,"5.627871"
"682","Invånare 65+ i särskilda boendeformer, andel (%)","Ovanåker",2009,"5.174981"
"683","Invånare 65+ i särskilda boendeformer, andel (%)","Ovanåker",2010,"5.335753"
"684","Invånare 65+ i särskilda boendeformer, andel (%)","Ovanåker",2011,"4.420085"
"685","Invånare 65+ i särskilda boendeformer, andel (%)","Oxelösund",2008,"4.545455"
"686","Invånare 65+ i särskilda boendeformer, andel (%)","Oxelösund",2009,"4.09042"
"687","Invånare 65+ i särskilda boendeformer, andel (%)","Oxelösund",2010,"4.259003"
"688","Invånare 65+ i särskilda boendeformer, andel (%)","Oxelösund",2011,"4.112337"
"689","Invånare 65+ i särskilda boendeformer, andel (%)","Pajala",2008,"6.341958"
"690","Invånare 65+ i särskilda boendeformer, andel (%)","Pajala",2009,"6.774362"
"691","Invånare 65+ i särskilda boendeformer, andel (%)","Pajala",2010,"6.694344"
"692","Invånare 65+ i särskilda boendeformer, andel (%)","Pajala",2011,"6.769231"
"693","Invånare 65+ i särskilda boendeformer, andel (%)","Partille",2008,"3.668451"
"694","Invånare 65+ i särskilda boendeformer, andel (%)","Partille",2009,"4.169014"
"695","Invånare 65+ i särskilda boendeformer, andel (%)","Partille",2010,"3.641304"
"696","Invånare 65+ i särskilda boendeformer, andel (%)","Partille",2011,"3.658964"
"697","Invånare 65+ i särskilda boendeformer, andel (%)","Perstorp",2008,"5.361132"
"698","Invånare 65+ i särskilda boendeformer, andel (%)","Perstorp",2009,"4.77193"
"699","Invånare 65+ i särskilda boendeformer, andel (%)","Perstorp",2010,"4.211957"
"700","Invånare 65+ i särskilda boendeformer, andel (%)","Perstorp",2011,"4.456448"
"701","Invånare 65+ i särskilda boendeformer, andel (%)","Piteå",2008,"7.340195"
"702","Invånare 65+ i särskilda boendeformer, andel (%)","Piteå",2009,"7.15014"
"703","Invånare 65+ i särskilda boendeformer, andel (%)","Piteå",2010,"6.896552"
"704","Invånare 65+ i särskilda boendeformer, andel (%)","Piteå",2011,"6.456224"
"705","Invånare 65+ i särskilda boendeformer, andel (%)","Ragunda",2008,"7.331572"
"706","Invånare 65+ i särskilda boendeformer, andel (%)","Ragunda",2009,"7.241606"
"707","Invånare 65+ i särskilda boendeformer, andel (%)","Ragunda",2010,"6.988896"
"708","Invånare 65+ i särskilda boendeformer, andel (%)","Ragunda",2011,"7.073329"
"709","Invånare 65+ i särskilda boendeformer, andel (%)","Robertsfors",2008,"7.905405"
"710","Invånare 65+ i särskilda boendeformer, andel (%)","Robertsfors",2009,"7.269155"
"711","Invånare 65+ i särskilda boendeformer, andel (%)","Robertsfors",2010,"7.124519"
"712","Invånare 65+ i särskilda boendeformer, andel (%)","Robertsfors",2011,"6.64557"
"713","Invånare 65+ i särskilda boendeformer, andel (%)","Ronneby",2008,"6.020067"
"714","Invånare 65+ i särskilda boendeformer, andel (%)","Ronneby",2009,"5.321013"
"715","Invånare 65+ i särskilda boendeformer, andel (%)","Ronneby",2010,"4.664587"
"716","Invånare 65+ i särskilda boendeformer, andel (%)","Ronneby",2011,"4.374149"
"717","Invånare 65+ i särskilda boendeformer, andel (%)","Rättvik",2008,"6.05952"
"718","Invånare 65+ i särskilda boendeformer, andel (%)","Rättvik",2009,"5.978261"
"719","Invånare 65+ i särskilda boendeformer, andel (%)","Rättvik",2010,"5.561106"
"720","Invånare 65+ i särskilda boendeformer, andel (%)","Rättvik",2011,"5.428847"
"721","Invånare 65+ i särskilda boendeformer, andel (%)","Sala",2008,"5.860291"
"722","Invånare 65+ i särskilda boendeformer, andel (%)","Sala",2009,"5.273654"
"723","Invånare 65+ i särskilda boendeformer, andel (%)","Sala",2010,"5.293738"
"724","Invånare 65+ i särskilda boendeformer, andel (%)","Sala",2011,"5.241002"
"725","Invånare 65+ i särskilda boendeformer, andel (%)","Salem",2008,"4.063429"
"726","Invånare 65+ i särskilda boendeformer, andel (%)","Salem",2009,"4.036858"
"727","Invånare 65+ i särskilda boendeformer, andel (%)","Salem",2010,"4.125"
"728","Invånare 65+ i särskilda boendeformer, andel (%)","Salem",2011,"4.302789"
"729","Invånare 65+ i särskilda boendeformer, andel (%)","Sandviken",2008,"5.988103"
"730","Invånare 65+ i särskilda boendeformer, andel (%)","Sandviken",2009,"5.937107"
"731","Invånare 65+ i särskilda boendeformer, andel (%)","Sandviken",2010,"5.059888"
"732","Invånare 65+ i särskilda boendeformer, andel (%)","Sandviken",2011,"4.798762"
"733","Invånare 65+ i särskilda boendeformer, andel (%)","Sigtuna",2008,"3.659011"
"734","Invånare 65+ i särskilda boendeformer, andel (%)","Sigtuna",2009,"3.560099"
"735","Invånare 65+ i särskilda boendeformer, andel (%)","Sigtuna",2010,"3.417508"
"736","Invånare 65+ i särskilda boendeformer, andel (%)","Sigtuna",2011,"3.50334"
"737","Invånare 65+ i särskilda boendeformer, andel (%)","Simrishamn",2008,"5.211599"
"738","Invånare 65+ i särskilda boendeformer, andel (%)","Simrishamn",2009,"4.978557"
"739","Invånare 65+ i särskilda boendeformer, andel (%)","Simrishamn",2010,"4.889619"
"740","Invånare 65+ i särskilda boendeformer, andel (%)","Simrishamn",2011,"4.623044"
"741","Invånare 65+ i särskilda boendeformer, andel (%)","Sjöbo",2008,"4.933135"
"742","Invånare 65+ i särskilda boendeformer, andel (%)","Sjöbo",2009,"4.569666"
"743","Invånare 65+ i särskilda boendeformer, andel (%)","Sjöbo",2010,"4.486486"
"744","Invånare 65+ i särskilda boendeformer, andel (%)","Sjöbo",2011,"4.34555"
"745","Invånare 65+ i särskilda boendeformer, andel (%)","Skara",2008,"6.83319"
"746","Invånare 65+ i särskilda boendeformer, andel (%)","Skara",2009,"6.463245"
"747","Invånare 65+ i särskilda boendeformer, andel (%)","Skara",2010,"5.954323"
"748","Invånare 65+ i särskilda boendeformer, andel (%)","Skara",2011,"5.474356"
"749","Invånare 65+ i särskilda boendeformer, andel (%)","Skellefteå",2008,"6.068475"
"750","Invånare 65+ i särskilda boendeformer, andel (%)","Skellefteå",2009,"5.803958"
"751","Invånare 65+ i särskilda boendeformer, andel (%)","Skellefteå",2010,"5.934409"
"752","Invånare 65+ i särskilda boendeformer, andel (%)","Skellefteå",2011,"5.905385"
"753","Invånare 65+ i särskilda boendeformer, andel (%)","Skinnskatteberg",2008,"5.024631"
"754","Invånare 65+ i särskilda boendeformer, andel (%)","Skinnskatteberg",2009,"4.661792"
"755","Invånare 65+ i särskilda boendeformer, andel (%)","Skinnskatteberg",2010,"4.332449"
"756","Invånare 65+ i särskilda boendeformer, andel (%)","Skinnskatteberg",2011,"4.794521"
"757","Invånare 65+ i särskilda boendeformer, andel (%)","Skurup",2008,"4.872007"
"758","Invånare 65+ i särskilda boendeformer, andel (%)","Skurup",2009,"4.594595"
"759","Invånare 65+ i särskilda boendeformer, andel (%)","Skurup",2010,"4.398827"
"760","Invånare 65+ i särskilda boendeformer, andel (%)","Skurup",2011,"4.189044"
"761","Invånare 65+ i särskilda boendeformer, andel (%)","Skövde",2008,"6.167451"
"762","Invånare 65+ i särskilda boendeformer, andel (%)","Skövde",2009,"6.148041"
"763","Invånare 65+ i särskilda boendeformer, andel (%)","Skövde",2010,"5.688492"
"764","Invånare 65+ i särskilda boendeformer, andel (%)","Skövde",2011,"5.43409"
"765","Invånare 65+ i särskilda boendeformer, andel (%)","Smedjebacken",2008,"6.528452"
"766","Invånare 65+ i särskilda boendeformer, andel (%)","Smedjebacken",2009,"6.686047"
"767","Invånare 65+ i särskilda boendeformer, andel (%)","Smedjebacken",2010,"5.966587"
"768","Invånare 65+ i särskilda boendeformer, andel (%)","Smedjebacken",2011,"6.218617"
"769","Invånare 65+ i särskilda boendeformer, andel (%)","Sollefteå",2008,"6.007905"
"770","Invånare 65+ i särskilda boendeformer, andel (%)","Sollefteå",2009,"5.714286"
"771","Invånare 65+ i särskilda boendeformer, andel (%)","Sollefteå",2010,"5.805207"
"772","Invånare 65+ i särskilda boendeformer, andel (%)","Sollefteå",2011,"5.626307"
"773","Invånare 65+ i särskilda boendeformer, andel (%)","Sollentuna",2008,"5.420118"
"774","Invånare 65+ i särskilda boendeformer, andel (%)","Sollentuna",2009,"5.225421"
"775","Invånare 65+ i särskilda boendeformer, andel (%)","Sollentuna",2010,"5.170793"
"776","Invånare 65+ i särskilda boendeformer, andel (%)","Sollentuna",2011,"5.074507"
"777","Invånare 65+ i särskilda boendeformer, andel (%)","Solna",2008,"5.350589"
"778","Invånare 65+ i särskilda boendeformer, andel (%)","Solna",2009,"5.729215"
"779","Invånare 65+ i särskilda boendeformer, andel (%)","Solna",2010,"5.473319"
"780","Invånare 65+ i särskilda boendeformer, andel (%)","Solna",2011,"5.25049"
"781","Invånare 65+ i särskilda boendeformer, andel (%)","Sorsele",2008,"9.98703"
"782","Invånare 65+ i särskilda boendeformer, andel (%)","Sorsele",2009,"8.443272"
"783","Invånare 65+ i särskilda boendeformer, andel (%)","Sorsele",2010,"8.713137"
"784","Invånare 65+ i särskilda boendeformer, andel (%)","Sorsele",2011,"7.596685"
"785","Invånare 65+ i särskilda boendeformer, andel (%)","Sotenäs",2008,"5.800262"
"786","Invånare 65+ i särskilda boendeformer, andel (%)","Sotenäs",2009,"5.440742"
"787","Invånare 65+ i särskilda boendeformer, andel (%)","Sotenäs",2010,"5.125051"
"788","Invånare 65+ i särskilda boendeformer, andel (%)","Sotenäs",2011,"5.229541"
"789","Invånare 65+ i särskilda boendeformer, andel (%)","Staffanstorp",2008,"3.669442"
"790","Invånare 65+ i särskilda boendeformer, andel (%)","Staffanstorp",2009,"3.125849"
"791","Invånare 65+ i särskilda boendeformer, andel (%)","Staffanstorp",2010,"3.029518"
"792","Invånare 65+ i särskilda boendeformer, andel (%)","Staffanstorp",2011,"2.917706"
"793","Invånare 65+ i särskilda boendeformer, andel (%)","Stenungsund",2008,"4.200278"
"794","Invånare 65+ i särskilda boendeformer, andel (%)","Stenungsund",2009,"3.750315"
"795","Invånare 65+ i särskilda boendeformer, andel (%)","Stenungsund",2010,"3.826836"
"796","Invånare 65+ i särskilda boendeformer, andel (%)","Stenungsund",2011,"3.563165"
"797","Invånare 65+ i särskilda boendeformer, andel (%)","Stockholm",2008,"7.800367"
"798","Invånare 65+ i särskilda boendeformer, andel (%)","Stockholm",2009,"7.325491"
"799","Invånare 65+ i särskilda boendeformer, andel (%)","Stockholm",2010,"6.832817"
"800","Invånare 65+ i särskilda boendeformer, andel (%)","Stockholm",2011,"6.415375"
"801","Invånare 65+ i särskilda boendeformer, andel (%)","Storfors",2008,"2.978723"
"802","Invånare 65+ i särskilda boendeformer, andel (%)","Storfors",2009,"2.556237"
"803","Invånare 65+ i särskilda boendeformer, andel (%)","Storfors",2010,"2.628918"
"804","Invånare 65+ i särskilda boendeformer, andel (%)","Storfors",2011,"2.587065"
"805","Invånare 65+ i särskilda boendeformer, andel (%)","Storuman",2008,"5.86782"
"806","Invånare 65+ i särskilda boendeformer, andel (%)","Storuman",2009,"7.594168"
"807","Invånare 65+ i särskilda boendeformer, andel (%)","Storuman",2010,"6.992164"
"808","Invånare 65+ i särskilda boendeformer, andel (%)","Storuman",2011,"6.68693"
"809","Invånare 65+ i särskilda boendeformer, andel (%)","Strängnäs",2008,"5.721973"
"810","Invånare 65+ i särskilda boendeformer, andel (%)","Strängnäs",2009,"5.444555"
"811","Invånare 65+ i särskilda boendeformer, andel (%)","Strängnäs",2010,"5.189052"
"812","Invånare 65+ i särskilda boendeformer, andel (%)","Strängnäs",2011,"5.205312"
"813","Invånare 65+ i särskilda boendeformer, andel (%)","Strömstad",2008,"5.847204"
"814","Invånare 65+ i särskilda boendeformer, andel (%)","Strömstad",2009,"5.526422"
"815","Invånare 65+ i särskilda boendeformer, andel (%)","Strömstad",2010,"5.106049"
"816","Invånare 65+ i särskilda boendeformer, andel (%)","Strömstad",2011,"4.802151"
"817","Invånare 65+ i särskilda boendeformer, andel (%)","Strömsund",2008,"5.834122"
"818","Invånare 65+ i särskilda boendeformer, andel (%)","Strömsund",2009,"5.726036"
"819","Invånare 65+ i särskilda boendeformer, andel (%)","Strömsund",2010,"5.665722"
"820","Invånare 65+ i särskilda boendeformer, andel (%)","Strömsund",2011,"5.400372"
"821","Invånare 65+ i särskilda boendeformer, andel (%)","Sundbyberg",2008,"7.08979"
"822","Invånare 65+ i särskilda boendeformer, andel (%)","Sundbyberg",2009,"6.761069"
"823","Invånare 65+ i särskilda boendeformer, andel (%)","Sundbyberg",2010,"6.657502"
"824","Invånare 65+ i särskilda boendeformer, andel (%)","Sundbyberg",2011,"6.557064"
"825","Invånare 65+ i särskilda boendeformer, andel (%)","Sundsvall",2008,"6.817796"
"826","Invånare 65+ i särskilda boendeformer, andel (%)","Sundsvall",2009,"5.945419"
"827","Invånare 65+ i särskilda boendeformer, andel (%)","Sundsvall",2010,"5.652795"
"828","Invånare 65+ i särskilda boendeformer, andel (%)","Sundsvall",2011,"5.363787"
"829","Invånare 65+ i särskilda boendeformer, andel (%)","Sunne",2008,"5.361467"
"830","Invånare 65+ i särskilda boendeformer, andel (%)","Sunne",2009,"5.493006"
"831","Invånare 65+ i särskilda boendeformer, andel (%)","Sunne",2010,"5.478526"
"832","Invånare 65+ i särskilda boendeformer, andel (%)","Sunne",2011,"5.535178"
"833","Invånare 65+ i särskilda boendeformer, andel (%)","Surahammar",2008,"6.25"
"834","Invånare 65+ i särskilda boendeformer, andel (%)","Surahammar",2009,"5.654049"
"835","Invånare 65+ i särskilda boendeformer, andel (%)","Surahammar",2010,"5.63703"
"836","Invånare 65+ i särskilda boendeformer, andel (%)","Surahammar",2011,"4.899777"
"837","Invånare 65+ i särskilda boendeformer, andel (%)","Svalöv",2008,"4.058518"
"838","Invånare 65+ i särskilda boendeformer, andel (%)","Svalöv",2009,"4.491413"
"839","Invånare 65+ i särskilda boendeformer, andel (%)","Svalöv",2010,"4.866494"
"840","Invånare 65+ i särskilda boendeformer, andel (%)","Svalöv",2011,"4.262432"
"841","Invånare 65+ i särskilda boendeformer, andel (%)","Svedala",2008,"4.231205"
"842","Invånare 65+ i särskilda boendeformer, andel (%)","Svedala",2009,"3.592401"
"843","Invånare 65+ i särskilda boendeformer, andel (%)","Svedala",2010,"3.342071"
"844","Invånare 65+ i särskilda boendeformer, andel (%)","Svedala",2011,"3.41556"
"845","Invånare 65+ i särskilda boendeformer, andel (%)","Svenljunga",2008,"7.327586"
"846","Invånare 65+ i särskilda boendeformer, andel (%)","Svenljunga",2009,"6.844281"
"847","Invånare 65+ i särskilda boendeformer, andel (%)","Svenljunga",2010,"5.935252"
"848","Invånare 65+ i särskilda boendeformer, andel (%)","Svenljunga",2011,"5.026224"
"849","Invånare 65+ i särskilda boendeformer, andel (%)","Säffle",2008,"5.169147"
"850","Invånare 65+ i särskilda boendeformer, andel (%)","Säffle",2009,"5.018296"
"851","Invånare 65+ i särskilda boendeformer, andel (%)","Säffle",2010,"4.533811"
"852","Invånare 65+ i särskilda boendeformer, andel (%)","Säffle",2011,"4.127863"
"853","Invånare 65+ i särskilda boendeformer, andel (%)","Säter",2008,"3.888099"
"854","Invånare 65+ i särskilda boendeformer, andel (%)","Säter",2009,"4.115785"
"855","Invånare 65+ i särskilda boendeformer, andel (%)","Säter",2010,"4.142794"
"856","Invånare 65+ i särskilda boendeformer, andel (%)","Säter",2011,"3.996599"
"857","Invånare 65+ i särskilda boendeformer, andel (%)","Sävsjö",2008,"6.537102"
"858","Invånare 65+ i särskilda boendeformer, andel (%)","Sävsjö",2009,"6.41136"
"859","Invånare 65+ i särskilda boendeformer, andel (%)","Sävsjö",2010,"5.869751"
"860","Invånare 65+ i särskilda boendeformer, andel (%)","Sävsjö",2011,"5.414411"
"861","Invånare 65+ i särskilda boendeformer, andel (%)","Söderhamn",2008,"6.786325"
"862","Invånare 65+ i särskilda boendeformer, andel (%)","Söderhamn",2009,"6.428689"
"863","Invånare 65+ i särskilda boendeformer, andel (%)","Söderhamn",2010,"6.068899"
"864","Invånare 65+ i särskilda boendeformer, andel (%)","Söderhamn",2011,"6.012907"
"865","Invånare 65+ i särskilda boendeformer, andel (%)","Söderköping",2008,"6.308411"
"866","Invånare 65+ i särskilda boendeformer, andel (%)","Söderköping",2009,"6.365576"
"867","Invånare 65+ i särskilda boendeformer, andel (%)","Söderköping",2010,"6.385135"
"868","Invånare 65+ i särskilda boendeformer, andel (%)","Söderköping",2011,"6.013802"
"869","Invånare 65+ i särskilda boendeformer, andel (%)","Södertälje",2008,"4.447505"
"870","Invånare 65+ i särskilda boendeformer, andel (%)","Södertälje",2009,"4.061496"
"871","Invånare 65+ i särskilda boendeformer, andel (%)","Södertälje",2010,"3.885663"
"872","Invånare 65+ i särskilda boendeformer, andel (%)","Södertälje",2011,"3.817071"
"873","Invånare 65+ i särskilda boendeformer, andel (%)","Sölvesborg",2008,"6.683101"
"874","Invånare 65+ i särskilda boendeformer, andel (%)","Sölvesborg",2009,"6.345506"
"875","Invånare 65+ i särskilda boendeformer, andel (%)","Sölvesborg",2010,"5.867412"
"876","Invånare 65+ i särskilda boendeformer, andel (%)","Sölvesborg",2011,"5.951195"
"877","Invånare 65+ i särskilda boendeformer, andel (%)","Tanum",2008,"6.079359"
"878","Invånare 65+ i särskilda boendeformer, andel (%)","Tanum",2009,"5.299381"
"879","Invånare 65+ i särskilda boendeformer, andel (%)","Tanum",2010,"5.328005"
"880","Invånare 65+ i särskilda boendeformer, andel (%)","Tanum",2011,"4.92228"
"881","Invånare 65+ i särskilda boendeformer, andel (%)","Tibro",2008,"5.472637"
"882","Invånare 65+ i särskilda boendeformer, andel (%)","Tibro",2009,"5.158214"
"883","Invånare 65+ i särskilda boendeformer, andel (%)","Tibro",2010,"4.662993"
"884","Invånare 65+ i särskilda boendeformer, andel (%)","Tibro",2011,"4.584882"
"885","Invånare 65+ i särskilda boendeformer, andel (%)","Tidaholm",2008,"6.281118"
"886","Invånare 65+ i särskilda boendeformer, andel (%)","Tidaholm",2009,"5.862953"
"887","Invånare 65+ i särskilda boendeformer, andel (%)","Tidaholm",2010,"5.939877"
"888","Invånare 65+ i särskilda boendeformer, andel (%)","Tidaholm",2011,"5.815198"
"889","Invånare 65+ i särskilda boendeformer, andel (%)","Tierp",2008,"4.805871"
"890","Invånare 65+ i särskilda boendeformer, andel (%)","Tierp",2009,"4.693971"
"891","Invånare 65+ i särskilda boendeformer, andel (%)","Tierp",2010,"4.218084"
"892","Invånare 65+ i särskilda boendeformer, andel (%)","Tierp",2011,"4.107774"
"893","Invånare 65+ i särskilda boendeformer, andel (%)","Timrå",2008,"7.784791"
"894","Invånare 65+ i särskilda boendeformer, andel (%)","Timrå",2009,"6.906312"
"895","Invånare 65+ i särskilda boendeformer, andel (%)","Timrå",2010,"6.570955"
"896","Invånare 65+ i särskilda boendeformer, andel (%)","Timrå",2011,"6.481481"
"897","Invånare 65+ i särskilda boendeformer, andel (%)","Tingsryd",2008,"6.585678"
"898","Invånare 65+ i särskilda boendeformer, andel (%)","Tingsryd",2009,"6.554831"
"899","Invånare 65+ i särskilda boendeformer, andel (%)","Tingsryd",2010,"6.449631"
"900","Invånare 65+ i särskilda boendeformer, andel (%)","Tingsryd",2011,"6.419227"
"901","Invånare 65+ i särskilda boendeformer, andel (%)","Tjörn",2008,"6.082474"
"902","Invånare 65+ i särskilda boendeformer, andel (%)","Tjörn",2009,"5.887939"
"903","Invånare 65+ i särskilda boendeformer, andel (%)","Tjörn",2010,"5.425175"
"904","Invånare 65+ i särskilda boendeformer, andel (%)","Tjörn",2011,"4.920448"
"905","Invånare 65+ i särskilda boendeformer, andel (%)","Tomelilla",2008,"5.613908"
"906","Invånare 65+ i särskilda boendeformer, andel (%)","Tomelilla",2009,"5.226481"
"907","Invånare 65+ i särskilda boendeformer, andel (%)","Tomelilla",2010,"5.044612"
"908","Invånare 65+ i särskilda boendeformer, andel (%)","Tomelilla",2011,"4.825737"
"909","Invånare 65+ i särskilda boendeformer, andel (%)","Torsby",2008,"5.67201"
"910","Invånare 65+ i särskilda boendeformer, andel (%)","Torsby",2009,"6.081291"
"911","Invånare 65+ i särskilda boendeformer, andel (%)","Torsby",2010,"5.645904"
"912","Invånare 65+ i särskilda boendeformer, andel (%)","Torsby",2011,"5.689078"
"913","Invånare 65+ i särskilda boendeformer, andel (%)","Torsås",2008,"6.662592"
"914","Invånare 65+ i särskilda boendeformer, andel (%)","Torsås",2009,"5.84297"
"915","Invånare 65+ i särskilda boendeformer, andel (%)","Torsås",2010,"5.168269"
"916","Invånare 65+ i särskilda boendeformer, andel (%)","Torsås",2011,"4.640371"
"917","Invånare 65+ i särskilda boendeformer, andel (%)","Tranemo",2008,"7.835663"
"918","Invånare 65+ i särskilda boendeformer, andel (%)","Tranemo",2009,"6.715807"
"919","Invånare 65+ i särskilda boendeformer, andel (%)","Tranemo",2010,"6.29733"
"920","Invånare 65+ i särskilda boendeformer, andel (%)","Tranemo",2011,"6.347352"
"921","Invånare 65+ i särskilda boendeformer, andel (%)","Tranås",2008,"4.906721"
"922","Invånare 65+ i särskilda boendeformer, andel (%)","Tranås",2009,"4.71397"
