"","Kortnamn","Beskrivning","Kod"
"1213","Lokalkostnader insatser för funktionsnedsatta enl SoL/HSL kr/inv 0-64 år","Lokalkostnader insatser för funktionsnedsatta enl SoL/HSL kr dividerat med antal invånare 0-64 år 31/12. Avser samtlig regi.","N26001"
"1214","Lokalkostnader insatser för funktionsnedsatta enl SoL/HSL kr/inv 0-64 år","Lokalkostnader insatser för funktionsnedsatta enl SoL/HSL kr dividerat med antal invånare 0-64 år 31/12. Avser samtlig regi.","N26001"
"1215","Kostnad hemtjänst i ordinärt boende funktionsnedsatta, kr/brukare","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för hemtjänst insatser för funktionsneds. i ordinärt boende, dividerat med antal brukare med hemtjänst i ordinärt boende. Avser samtlig regi.","N26003"
"1216","Kostnad hemtjänst i ordinärt boende funktionsnedsatta, kr/brukare","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för hemtjänst insatser för funktionsneds. i ordinärt boende, dividerat med antal brukare med hemtjänst i ordinärt boende. Avser samtlig regi.","N26003"
"1217","Personalkostnad insatser för funktionsnedsatta enl SoL/HSL, egen regi, kr/brukare","Personalkostnad insatser för funktionsnedsatta enl SoL/HSL i egen regi, dividerat med antal invånare 0-64 år som bor permanent i särskilda boendeformer i egen regi eller har beviljats hemtjänst i ordinärt boende i kommunal regi.","N26004"
"1218","Personalkostnad insatser för funktionsnedsatta enl SoL/HSL, egen regi, kr/brukare","Personalkostnad insatser för funktionsnedsatta enl SoL/HSL i egen regi, dividerat med antal invånare 0-64 år som bor permanent i särskilda boendeformer i egen regi eller har beviljats hemtjänst i ordinärt boende i kommunal regi.","N26004"
"1219","Personalkostnad insatser för funktionsnedsatta enl SoL, egen regi, kr/årsarbetare","Personalkostnad insatser för funktionsnedsatta enl SoL, dividerat med antal årsarbetare inom insatser enl SoL/HSL. Avser egen regi.","N26005"
"1220","Personalkostnad insatser för funktionsnedsatta enl SoL, egen regi, kr/årsarbetare","Personalkostnad insatser för funktionsnedsatta enl SoL, dividerat med antal årsarbetare inom insatser enl SoL/HSL. Avser egen regi.","N26005"
"1221","Årsarbetare inom  insatser för funktionsnedsatta enl SoL/HSL, egen regi, antal/brukare","Antal årsarbetare inom insatser för personer med funktionsnedsättning enl SoL/HSL i egen regi, dividerat med antal invånare 0-64 år som bor permanent i särskilda boendeformer i egen regi eller har beviljats hemtjänst i ordinärt boende i kommunal regi.","N26006"
"1222","Årsarbetare inom  insatser för funktionsnedsatta enl SoL/HSL, egen regi, antal/brukare","Antal årsarbetare inom insatser för personer med funktionsnedsättning enl SoL/HSL i egen regi, dividerat med antal invånare 0-64 år som bor permanent i särskilda boendeformer i egen regi eller har beviljats hemtjänst i ordinärt boende i kommunal regi.","N26006"
"1223","Kostnad insatser enligt SoL/HSL, andel av kommunens totala kostnad för funktionsnedsatta (%)","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för insatser till personer med funktionshinder 0-64 år enligt SoL/HSL, dividerad med kommunens totala kostnad för insatser till funktionshindrade multiplicerad med 100","N26007"
"1224","Hemtjänsttimmar per brukare 0-64 år i oktober, antal","Antal beviljade/beräknade hemtjänsttimmar under oktober månad till personer 0-64 år dividerat med antal personer 0-64 år i ordinärt boende som var beviljade hemtjänst den 1/10","N26800"
"1225","Kostnad insatser enligt LSS och LASS, exkl ersättning från FK och lokalkostnader, kr/inv 0-64 år","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för insatser enligt LSS och LASS, exkl ersättning från Försäkringskassan och lokalkostnader,  dividerat med antal invånare  0-64 år den 31/12. Avser samtlig regi.","N28001"
"1226","Kostnad insatser enligt LSS och LASS, exkl ersättning från FK och lokalkostnader, kr/inv 0-64 år","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för insatser enligt LSS och LASS, exkl ersättning från Försäkringskassan och lokalkostnader,  dividerat med antal invånare  0-64 år den 31/12. Avser samtlig regi.","N28001"
"1227","Kostnad exkl lokalkostnad boende enl LSS kr/inv 0-64 år","Kostnad exkl lokalkostnad boende enl LSS kr dividerat med antal invånare 0-64 år 31/12. Avser samtlig regi.","N28002"
"1228","Kostnad exkl lokalkostnad boende enl LSS kr/inv 0-64 år","Kostnad exkl lokalkostnad boende enl LSS kr dividerat med antal invånare 0-64 år 31/12. Avser samtlig regi.","N28002"
"1229","Kostnad exkl lokalkostnader boende enligt LSS kr/brukare","Kostnad exkl lokalkostnader boende enligt LSS kr dividerat med Antal brukare med insatsen boende enl LSS. Avser samtlig regi.","N28003"
"1230","Kostnad exkl lokalkostnader boende enligt LSS kr/brukare","Kostnad exkl lokalkostnader boende enligt LSS kr dividerat med Antal brukare med insatsen boende enl LSS. Avser samtlig regi.","N28003"
"1231","Kostnad daglig verksamhet, enl LSS kr/inv 0-64 år","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för daglig verksamhet, enl LSS ,  dividerat med antal invånare 0-64 år 31/12. Avser samtlig regi.","N28004"
"1232","Kostnad daglig verksamhet, enl LSS kr/inv 0-64 år","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för daglig verksamhet, enl LSS ,  dividerat med antal invånare 0-64 år 31/12. Avser samtlig regi.","N28004"
"1233","Kostnad övriga insatser enl LSS kr/inv 0-64 år","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för övriga insatser enl LSS , dividerat med antal invånare 0-64 år 31/12. Avser samtlig regi.","N28005"
"1234","Kostnad övriga insatser enl LSS kr/inv 0-64 år","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för övriga insatser enl LSS , dividerat med antal invånare 0-64 år 31/12. Avser samtlig regi.","N28005"
"1235","Kostnad personlig assistans, kr/inv 0-64 år","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för personlig assistans, dividerat med antal invånare 0-64 år 31/12. Avser samtlig regi.","N28006"
"1236","Kostnad personlig assistans, kr/inv 0-64 år","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för personlig assistans, dividerat med antal invånare 0-64 år 31/12. Avser samtlig regi.","N28006"
"1237","Personalkostnad insatser enl LSS/LASS, egen regi, kr/årsarbetare","Personalkostnad insatser enl LSS/LASS dividerat med antal årsarbetare inom insatser för funktionsnedsatta enl LSS/LASS. Avser egen regi.","N28008"
"1238","Personalkostnad insatser enl LSS/LASS, egen regi, kr/årsarbetare","Personalkostnad insatser enl LSS/LASS dividerat med antal årsarbetare inom insatser för funktionsnedsatta enl LSS/LASS. Avser egen regi.","N28008"
"1239","Ersättning från FK, kr/inv","Intäkter från Försäkringskassan för personlig assistans dividerat med antal invånare den 31/12. Avser samtlig regi.","N28010"
"1240","Ersättning från FK, kr/inv","Intäkter från Försäkringskassan för personlig assistans dividerat med antal invånare den 31/12. Avser samtlig regi.","N28010"
"1241","Kostnad boende enligt LSS kr/brukare","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting och externa intäkter för bostads- och lokalhyror, dividerad med antal barn och ungdomar i familjehem eller i bostad med särskild service för barn och ungdom enligt 9 § ","N28014"
"1242","Kostnad daglig verksamhet enl. LSS, kr/brukare","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting och externa intäkter för bostads- och lokalhyror, dividerad med antal personer med beslut om daglig verksamhet enligt 9 § 10 LSS","N28015"
"1243","Nettokostnad för insatser enl LSS kr/inv","Bruttokostnad minus interna och externa intäkter för kommunens kostnader för LSS-insatser, dividerat med antalet invånare  31/12","N28016"
"1244","Standardkostnad i utjämningssystemet för LSS, kr/inv","Standardkostnad inkl.  Koncentrationsindex (K-IX) och personalkostnadsindex (PK-IX) enligt nationellt system för utjämning av LSS-kostnader mellan kommuner","N28017"
"1245","Avvikelse redovisad kostnad och strukturårsjusterad standardkostnad LSS, andel (%)","Nettokostnad för LSS, dividerat med strukturårsjusterad standardkostnad för LSS. Med nettokostnad avses bruttokostnad minus bruttointäkt.  Den strukturårsjusterade standardkostnaden beräknas som standardkostnaden för utjämningsåret T+2 år i innevarande år","N28018"
"1246","Avvikelse redovisad kostnad och strukturårsjusterad standardkostnad LSS, andel (%)","Nettokostnad för LSS, dividerat med strukturårsjusterad standardkostnad för LSS. Med nettokostnad avses bruttokostnad minus bruttointäkt.  Den strukturårsjusterade standardkostnaden beräknas som standardkostnaden för utjämningsåret T+2 år i innevarande år","N28018"
"1247","Personer med boende enligt LSS, andel (%) av totalt antal personer med insatser enligt LSS","Antal barn och ungdomar i familjehem eller i bostad med särskild service för barn och ungdom enligt 9 § 8 LSS samt antal personer i bostad med särskild service för vuxna eller annan särskilt anpassad bostad för vuxna enligt 9 § 9 LSS dividerat med totalt ","N28802"
"1248","Personer med daglig verksamhet, andel (%) av totalt antal personer med insatser enligt LSS (%)","Antal personer med verkställda beslut om daglig verksamhet enligt 9 § 10 LSS dividerat med totalt antal personer med verkställda beslut enligt LSS exklusive personer med råd och stöd enligt 9 § 1 LSS som enda LSS-insats multiplicerat med 100, mätt den 1/1","N28803"
"1249","Invånare 0-64 år med insatser enl. LSS, andel (%)","Antal personer med verkställda beslut enligt LSS i åldern 0-64 år (exklusive personer med råd och stöd enligt 9 § 1 LSS som enda LSS-insats)den 1/10, dividerat med antalet invånare i åldern 0-64 år den 31/12 multiplicerat med 100. Källa: Socialstyrelsen o","N28890"
"1250","Invånare 0-64 år med insatser enl. LSS, andel (%)","Antal personer med verkställda beslut enligt LSS i åldern 0-64 år (exklusive personer med råd och stöd enligt 9 § 1 LSS som enda LSS-insats)den 1/10, dividerat med antalet invånare i åldern 0-64 år den 31/12 multiplicerat med 100. Källa: Socialstyrelsen o","N28890"
"1251","Kostnad öppen verksamhet insatser för. funktionsneds, kr/inv 0-64 år","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för öppen verksamhet insatser för. funktionsneds, dividerat med antal invånare 0-64 år 31/12. Avser samtlig regi.","N29001"
"1252","Kostnad öppen verksamhet insatser för. funktionsneds, kr/inv 0-64 år","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för öppen verksamhet insatser för. funktionsneds, dividerat med antal invånare 0-64 år 31/12. Avser samtlig regi.","N29001"
"1253","Avvikelse redovisad kostnad och strukturårsjusterad standardkostnad individ- och familjeomsorg,  andel (%)","Nettokostnad är bruttokostnad minus bruttointäkt för individ- och familjeomsorg, kr/inv dividerat med strukturårsjusterad standardkostnad individ- och familjeomsorg, kr/inv.   Den strukturårsjusterade standardkostnaden beräknas som standardkostnaden för u","N30001"
"1254","Avvikelse redovisad kostnad och strukturårsjusterad standardkostnad individ- och familjeomsorg,  andel (%)","Nettokostnad är bruttokostnad minus bruttointäkt för individ- och familjeomsorg, kr/inv dividerat med strukturårsjusterad standardkostnad individ- och familjeomsorg, kr/inv.   Den strukturårsjusterade standardkostnaden beräknas som standardkostnaden för u","N30001"
"1255","Kostnadskvot individ- och familjeomsorg, index","Nettokostnad för individ- och familjeomsorg, kr/inv dividerat med nettokostnad för individ- och familjeomsorg riket, kr/inv. Avser samtlig regi. Med nettokostnad avses bruttokostnad minus bruttointäkt.","N30002"
"1256","Kostnadskvot individ- och familjeomsorg, index","Nettokostnad för individ- och familjeomsorg, kr/inv dividerat med nettokostnad för individ- och familjeomsorg riket, kr/inv. Avser samtlig regi. Med nettokostnad avses bruttokostnad minus bruttointäkt.","N30002"
"1257","Strukturårsjusterad standardkostnadskvot individ- och familjeomsorg, index","Strukturårsjusterad standardkostnad individ- och familjeomsorg, dividerat med strukturårsjusterad standardkostnad individ- och familjeomsorg riket, kr/inv.  Den strukturårsjusterade standardkostnaden beräknas som standardkostnaden för utjämningsåret T+2 å","N30003"
"1258","Strukturårsjusterad standardkostnadskvot individ- och familjeomsorg, index","Strukturårsjusterad standardkostnad individ- och familjeomsorg, dividerat med strukturårsjusterad standardkostnad individ- och familjeomsorg riket, kr/inv.  Den strukturårsjusterade standardkostnaden beräknas som standardkostnaden för utjämningsåret T+2 å","N30003"
"1259","Intäkter individ- och familjeomsorg, kr/inv","Externa intäkter exklusive intäkter från försäljning till andra kommuner och landsting för individ- och familjeomsorg, dividerat med antal invånare 31/12.","N30004"
"1260","Intäkter individ- och familjeomsorg, kr/inv","Externa intäkter exklusive intäkter från försäljning till andra kommuner och landsting för individ- och familjeomsorg, dividerat med antal invånare 31/12.","N30004"
"1261","Nettokostnad individ- och familjeomsorg, kr/inv","Nettokostnad för individ- och familjeomsorg, dividerat med antal invånare totalt 31/12. Med nettokostnad avses bruttokostnad minus bruttointäkt. Avser samtlig regi.","N30005"
"1262","Nettokostnad individ- och familjeomsorg, kr/inv","Nettokostnad för individ- och familjeomsorg, dividerat med antal invånare totalt 31/12. Med nettokostnad avses bruttokostnad minus bruttointäkt. Avser samtlig regi.","N30005"
"1263","Nettokostnad individ- och familjeomsorg riket, kr/inv","Nettokostnad för individ- och familjeomsorg riket, dividerat med antal invånare totalt 31/12 riket. Med nettokostnad avses bruttokostnad minus bruttointäkt. Avser samtlig regi.","N30006"
"1264","Nettokostnad individ- och familjeomsorg riket, kr/inv","Nettokostnad för individ- och familjeomsorg riket, dividerat med antal invånare totalt 31/12 riket. Med nettokostnad avses bruttokostnad minus bruttointäkt. Avser samtlig regi.","N30006"
"1265","Strukturårsjusterad standardkostnad individ- och familjeomsorg, kr/inv","Strukturårsjusterad standardkostnad individ- och familjeomsorg, kr/inv. Avser samtlig regi.  Den strukturårsjusterade standardkostnaden beräknas som standardkostnaden för utjämningsåret T+2 år i innevarande års (år T) prisnivå. Den bygger därmed på befolk","N30007"
"1266","Strukturårsjusterad standardkostnad individ- och familjeomsorg riket, kr/inv","Strukturårsjusterad standardkostnad individ- och familjeomsorg riket, kr/inv. Avser samtlig regi.  Den strukturårsjusterade standardkostnaden beräknas som standardkostnaden för utjämningsåret T+2 år i innevarande års (år T) prisnivå. Den bygger därmed på ","N30008"
"1267","Månadsavlönad personal, kommunalt anställda socialsekreterare m fl, antal","Månadsavlönad personal, antal kommunalt anställda socialsekreterare m fl. Antal som varit anställda eller har fått lön i november månad.","N30009"
"1268","Månadsavlönad personal, kommunalt anställda inom individ- och familjeomsorg, antal","Månadsavlönad personal, antal kommunalt anställda inom individ- och familjeomsorg. Antal som varit anställda eller har fått lön i november månad.","N30010"
"1269","Årsarbetare, kommunalt anställda socialsekreterare m fl, antal","Årsarbetare, antal kommunalt anställda socialsekreterare m fl. Avser både månadsavlönade och timavlönade.","N30011"
"1270","Årsarbetare, kommunalt anställda inom individ- och familjeomsorg, antal","Årsarbetare, antal kommunalt anställda inom individ- och familjeomsorg. Avser både månadsavlönade och timavlönade.","N30012"
"1271","Genomsnittlig månadsutbetalning inkl introduktionsersättning till flyktinghushåll, kr","Genomsnittlig månadsutbetalning av ekonomiskt bistånd inkl. introduktionsersättning till flyktinghushåll med ekonomiskt bistånd och/eller introduktionsersättning","N30013"
"1272","Standardkostnad individ- och familjeomsorg, kr/inv","Standardkostnaden (kr/inv 1 nov fg år) för individ- och familjeomsorg beräknad enligt det kommunala utjämningssystemet\n","N30014"
"1273","Kostnadsandel  för individ- och familjeomsorgen av kommunens totala driftkostnad (%)","Individ- och familjeomsorgens (inkl.familjerätt och familjerådgivning) bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting, dividerad med totala driftkostnaden för kommunen multiplicerat med 100","N30100"
"1274","Kostnadsandel  för individ- och familjeomsorgen av kommunens totala driftkostnad (%)","Individ- och familjeomsorgens (inkl.familjerätt och familjerådgivning) bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting, dividerad med totala driftkostnaden för kommunen multiplicerat med 100","N30100"
"1275","Kostnad individ- och familjeomsorg, kr/inv","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för individ- och familjeomsorgen, inkl.familjerätt och familjerådgivning dividerad med antalet invånare i kommunen den 31/12","N30101"
"1276","Kostnad individ- och familjeomsorg, kr/inv","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för individ- och familjeomsorgen, inkl.familjerätt och familjerådgivning dividerad med antalet invånare i kommunen den 31/12","N30101"
"1277","Köp av individ och familjeomsorg, andel (%)","Köp av verksamhet  individ och familjeomsorg , dividerat med bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för individ och familjeomsorg. Avser annan regi än egen.","N30800"
"1278","Köp av individ och familjeomsorg, andel (%)","Köp av verksamhet  individ och familjeomsorg , dividerat med bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för individ och familjeomsorg. Avser annan regi än egen.","N30800"
"1279","Köp av individ och familjeomsorg av föreningar, andel (%)","Köp av verksamhet av föreningar individ och familjeomsorg , dividerat med bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för individ och familjeomsorg. Avser enskild regi.","N30801"
"1280","Köp av individ och familjeomsorg av föreningar, andel (%)","Köp av verksamhet av föreningar individ och familjeomsorg , dividerat med bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för individ och familjeomsorg. Avser enskild regi.","N30801"
"1281","Individ- och familjeomsorgen som utförs i enskild regi, andel (%) av total kostnad","Kostnad för köp av verksamhet för individ- och familjeomsorgen, inkl.familjerätt och familjerådgivning, som utförs i enskild regi dividerat med bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för individ- och familje","N30802"
"1282","Flyktinghushåll med introduktionsersättning, andel (%) av totalt antal flyktinghushåll som får introduktionsersättning och/eller ekonomiskt bistånd","Antal flyktinghushåll där introduktionsersättning ges dividerat med totalt antal bidragstagande flyktinghushåll (med ekonomiskt bistånd och/eller introduktionsersättning) i kommunen, multiplicerat med 100","N30803"
"1283","Kostnad ekonomiskt bistånd, kr/inv","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för ekonomiskt bistånd (inkl. utredningskostnader), dividerad med antal invånare totalt den 31/12. Försörjningsstöd till flyktinghushåll ingår inte. Källa: SCB.\n","N31001"
"1284","Kostnad utbetalt ekonomiskt bistånd, kr/inv","Bruttokostnad för externa bidrag och transfereringar inom ekonomiskt bistånd, dividerat med antal invånare totalt 31/12. Utbetalt bistånd till flyktinghushåll ingår inte. Källa: SCB.","N31002"
"1285","Kostnad utbetalt ekonomiskt bistånd, kr/inv","Bruttokostnad för externa bidrag och transfereringar inom ekonomiskt bistånd, dividerat med antal invånare totalt 31/12. Utbetalt bistånd till flyktinghushåll ingår inte. Källa: SCB.","N31002"
"1286","Kostnad övrigt ekonomiskt bistånd (ej utbet ek bistånd), kr/inv","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för övrigt ekonomiskt bistånd exklusive utbetalt ekonomiskt bistånd, dividerat med antal invånare totalt 31/12. Utbetalt bistånd till flyktinghushåll ingår inte. Källa:","N31003"
"1287","Kostnad övrigt ekonomiskt bistånd (ej utbet ek bistånd), kr/inv","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för övrigt ekonomiskt bistånd exklusive utbetalt ekonomiskt bistånd, dividerat med antal invånare totalt 31/12. Utbetalt bistånd till flyktinghushåll ingår inte. Källa:","N31003"
"1288","Kostnad utbetalt ekonomiskt bistånd (enl Sos), kr/inv","Utbetalt ekonomiskt bistånd till hushåll (exkl flyktinghushåll), Socialstyrelsens definition, dividerat med antal invånare totalt 31/12. Källa: Socialstyrelsen och SCB.","N31004"
"1289","Skillnad nyckeltal enl Sos och RS, kr/inv","Kostnad ekonomiskt bistånd, kr/inv (enl Sos) minus Kostnad ekonomiskt bistånd, kr/inv (enligt RS). Avser samtlig regi.","N31005"
"1290","Skillnad nyckeltal enl Sos och RS, kr/inv","Kostnad ekonomiskt bistånd, kr/inv (enl Sos) minus Kostnad ekonomiskt bistånd, kr/inv (enligt RS). Avser samtlig regi.","N31005"
"1291","Utbetalt ekonomiskt bistånd per hushåll (exkl flyktinghushåll), kr/hushåll","Utbetalt ekonomiskt bistånd till hushåll, dividerat med antal hushåll med ekonomiskt bistånd. Flyktinghushåll och ekonomiskt bistånd till flyktinghushåll ingår inte. Källa: Socialstyrelsen.","N31006"
"1292","Utbetalt ekonomiskt bistånd per hushåll (exkl flyktinghushåll), kr/hushåll","Utbetalt ekonomiskt bistånd till hushåll, dividerat med antal hushåll med ekonomiskt bistånd. Flyktinghushåll och ekonomiskt bistånd till flyktinghushåll ingår inte. Källa: Socialstyrelsen.","N31006"
"1293","Intäkter ekonomiskt bistånd, kr/inv","Externa intäkter exklusive intäkter från försäljning till andra kommuner och landsting för ekonomiskt bistånd, dividerat med antal invånare 31/12.","N31007"
"1294","Intäkter ekonomiskt bistånd, kr/inv","Externa intäkter exklusive intäkter från försäljning till andra kommuner och landsting för ekonomiskt bistånd, dividerat med antal invånare 31/12.","N31007"
"1295","Nettokostnad ekonomiskt bistånd, kr/inv","Nettokostnad för ekonomiskt bistånd, dividerat med antal invånare totalt 31/12. Med nettokostnad avses bruttokostnad minus bruttointäkt.","N31008"
"1296","Nettokostnad ekonomiskt bistånd, kr/inv","Nettokostnad för ekonomiskt bistånd, dividerat med antal invånare totalt 31/12. Med nettokostnad avses bruttokostnad minus bruttointäkt.","N31008"
"1297","Kostnad ekonomiskt bistånd, kr/inv 0-64 år","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för ekonomiskt bistånd (inkl. utredningskostnader), dividerad med antal invånare 0-64 år den 31/12. Utbetalt bistånd till flyktinghushåll ingår inte. Källa: SCB.","N31100"
"1298","Kostnad ekonomiskt bistånd, kr/inv 0-64 år","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för ekonomiskt bistånd (inkl. utredningskostnader), dividerad med antal invånare 0-64 år den 31/12. Utbetalt bistånd till flyktinghushåll ingår inte. Källa: SCB.","N31100"
"1299","Bidragshushåll ek bistånd, antal/1000 inv","Antal hushåll med ekonomiskt bistånd, dividerat med antal invånare totalt 31/12 dividerat med 1000. Avser samtlig regi.","N31800"
"1300","Bidragshushåll ek bistånd, antal/1000 inv","Antal hushåll med ekonomiskt bistånd, dividerat med antal invånare totalt 31/12 dividerat med 1000. Avser samtlig regi.","N31800"
"1301","Invånare som någon gång under året erhållit ekonomiskt bistånd inkl. introduktionsersättning, andel (%)","Antal invånare som någon gång under året erhållit ekonomiskt bistånd inkl. introduktionsersättning, dividerat med antalet invånare den 31/12 multiplicerat med 100","N31801"
"1302","Hushåll med ekonomiskt bistånd eller introduktionsersättning som erhållit bistånd i 1-3 månader under året, andel (%)","Antal hushåll med ekonomiskt bistånd eller introduktionsersättning i 1-3 månader under kalenderåret, dividerat med antal hushåll med ekonomiskt bistånd eller introduktionsersättning under kalenderåret, multiplicerat med 100","N31802"
"1303","Hushåll med ekonomiskt bistånd eller introduktionsersättning som erhållit bistånd i 4-9 månader under året, andel (%)","Antal hushåll med ekonomiskt bistånd eller introduktionsersättning  i 4-9 månader under kalenderåret, dividerat med antal hushåll med ekonomiskt bistånd eller introduktionsersättning under kalenderåret, multiplicerat med 100","N31803"
"1304","Hushåll med ekonomiskt bistånd eller introduktionsersättning som erhållit bistånd i 10-12 månader under året, andel (%)","Antal hushåll med ekonomiskt bistånd eller introduktionsersättning i 10-12 månader under kalenderåret, dividerat med antal hushåll med ekonomiskt bistånd eller introduktionsersättning under kalenderåret, multiplicerat med 100. Källa: Socialstyrelsen.","N31804"
"1305","Genomsnittlig månadsutbetalning (enl SoS) till hushåll exkl. flyktinghushåll, kr","Utbetalt ekonomiskt bistånd till hushåll, Socialstyrelsens definition, dividerat med antal biståndsmånader till hushåll. Flyktinghushåll ingår ej. Källa: Socialstyrelsen.","N31805"
"1306","Kostnad barn och ungdomsvård, kr/inv","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för barn och ungdomsvård, dividerat med antal invånare i kommunen den 31/12. Avser samtlig regi.","N33001"
"1307","Kostnad barn och ungdomsvård, kr/inv","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för barn och ungdomsvård, dividerat med antal invånare i kommunen den 31/12. Avser samtlig regi.","N33001"
"1308","Kostnad Institutionsvård för barn och unga kr/inv 0-20 år","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för institutionsvård för barn och unga , dividerat med antal invånare 0-20 år 31/12. Avser samtlig regi.","N33002"
"1309","Kostnad Institutionsvård för barn och unga kr/inv 0-20 år","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för institutionsvård för barn och unga , dividerat med antal invånare 0-20 år 31/12. Avser samtlig regi.","N33002"
"1310","Kostnad familjehemsvård barn och unga, kr/inv 0-20 år","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för familjehemsvård barn och unga, dividerat med antal invånare 0-20 år 31/12. Avser samtlig regi.","N33004"
"1311","Kostnad familjehemsvård barn och unga, kr/inv 0-20 år","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för familjehemsvård barn och unga, dividerat med antal invånare 0-20 år 31/12. Avser samtlig regi.","N33004"
"1312","Kostnad institutionsvård barn och unga, kr/inv","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för institutionsvård barn och unga, dividerat med antal invånare totalt 31/12. Avser samtlig regi.","N33007"
"1313","Kostnad institutionsvård barn och unga, kr/inv","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för institutionsvård barn och unga, dividerat med antal invånare totalt 31/12. Avser samtlig regi.","N33007"
"1314","Kostnad familjehemsvård barn och unga, kr/inv","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för familjehemsvård barn och unga, dividerat med antal invånare i kommunen den 31/12. Avser samtlig regi.","N33008"
"1315","Kostnad familjehemsvård barn och unga, kr/inv","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för familjehemsvård barn och unga, dividerat med antal invånare i kommunen den 31/12. Avser samtlig regi.","N33008"
"1316","Kostnad öppna insatser barn och unga, kr/inv","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för öppna insatser barn och unga, dividerat med antal invånare totalt 31/12. Avser samtlig regi.","N33009"
"1317","Kostnad öppna insatser barn och unga, kr/inv","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för öppna insatser barn och unga, dividerat med antal invånare totalt 31/12. Avser samtlig regi.","N33009"
"1318","Kostnad öppna insatser barn och unga, individuellt behovsprövad, kr/inv","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för öppna insatser barn och unga, individuellt behovsprövad, dividerat med antal invånare totalt 31/12. Avser samtlig regi.","N33010"
"1319","Kostnad öppna insatser barn och unga, individuellt behovsprövad, kr/inv","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för öppna insatser barn och unga, individuellt behovsprövad, dividerat med antal invånare totalt 31/12. Avser samtlig regi.","N33010"
"1320","Kostnad öppna insatser barn och unga övr. öppna ins. kr/inv","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för öppna insatser barn och unga övr. öppna ins, dividerat med antal invånare totalt 31/12. Avser samtlig regi.","N33011"
"1321","Kostnad öppna insatser barn och unga övr. öppna ins. kr/inv","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för öppna insatser barn och unga övr. öppna ins, dividerat med antal invånare totalt 31/12. Avser samtlig regi.","N33011"
"1322","Intäkter barn och ungdomsvård, kr/inv","Externa intäkter exklusive intäkter från försäljning till andra kommuner och landsting för barn och ungdomsvård, dividerat med antal invånare 31/12.","N33012"
"1323","Intäkter barn och ungdomsvård, kr/inv","Externa intäkter exklusive intäkter från försäljning till andra kommuner och landsting för barn och ungdomsvård, dividerat med antal invånare 31/12.","N33012"
"1324","Intäkter institutionsvård barn och unga, kr/inv","Externa intäkter exklusive intäkter från försäljning till andra kommuner och landsting för institutionsvård barn och unga, dividerat med antal invånare 31/12.","N33013"
